slug,name,address,vehicle_type,day,time_start,time_end,rate
hdb-bedok-town-centre-blk-211,HDB Bedok Town Centre Blk 211,211 New Upper Changi Road Singapore 460211,Car,Mon - Sun & PH,10:30 PM,07:00 AM,$0.02 per min; Capped at $5.00
22-martin-road,22 Martin Road,22 Martin Road Singapore 239058,Car,Mon - Fri,07:00 AM,06:00 PM,First 5 mins $0.10; Subsequent hour $2.00
22-martin-road,22 Martin Road,22 Martin Road Singapore 239058,Car,Mon - Fri,06:00 PM,02:00 AM,First 5 mins $0.10; Subsequent hour $3.00
22-martin-road,22 Martin Road,22 Martin Road Singapore 239058,Car,Sat - Sun & PH,07:00 AM,02:00 AM,First 5 mins $0.10; Subsequent hour $3.00
22-martin-road,22 Martin Road,22 Martin Road Singapore 239058,Car,Mon - Sun & PH,02:00 AM,07:00 AM,No parking
hdb-bedok-town-centre-blk-208a,HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road Singapore 461208,Car,Mon - Sun & PH,07:00 AM,10:00 AM,$0.02 per min
hdb-bedok-town-centre-blk-208a,HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road Singapore 461208,Car,Mon - Sun & PH,10:00 AM,08:00 PM,$0.03 per min
hdb-bedok-town-centre-blk-208a,HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road Singapore 461208,Car,Mon - Sun & PH,08:00 PM,10:30 PM,$0.02 per min
hdb-bedok-town-centre-blk-208a,HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road Singapore 461208,Car,Mon - Sun & PH,10:30 PM,07:00 AM,$0.02 per min; Capped at $5.00
71-robinson-road,71 Robinson Road,71 Robinson Road Singapore 068895,Car,Mon - Sun & PH,12:00 AM,12:00 AM,No parking
61-robinson,61 Robinson,61 Robinson Road Singapore 068893,Car,Mon - Fri,08:00 AM,05:00 PM,$2.40 per 30 mins
61-robinson,61 Robinson,61 Robinson Road Singapore 068893,Car,Mon - Fri,05:00 PM,12:00 AM,$3.00 per entry
61-robinson,61 Robinson,61 Robinson Road Singapore 068893,Car,Sat,08:00 AM,01:00 PM,$2.40 per 30 mins
61-robinson,61 Robinson,61 Robinson Road Singapore 068893,Car,Sat,01:00 PM,12:00 AM,$2.50 per entry
61-robinson,61 Robinson,61 Robinson Road Singapore 068893,Car,Sun & PH,07:00 AM,12:00 AM,$3.00 per entry
61-robinson,61 Robinson,61 Robinson Road Singapore 068893,Car,Mon - Sun & PH,12:00 AM,08:00 AM,$20.00 per entry
hdb-blk-710a-pasir-ris-street-72,HDB Blk 710A (Pasir Ris Street 72),"710A Pasir Ris Street 72, S(511710)",Car,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; Per 30 mins $0.60
hdb-blk-710a-pasir-ris-street-72,HDB Blk 710A (Pasir Ris Street 72),"710A Pasir Ris Street 72, S(511710)",Motorcycle,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; $0.65 per entry
hdb-blk-710a-pasir-ris-street-72,HDB Blk 710A (Pasir Ris Street 72),"710A Pasir Ris Street 72, S(511710)",Commercial,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; Per 30 mins $1.20
hdb-blk-718a-pasir-ris-street-72,HDB Blk 718A (Pasir Ris Street 72),718A Pasir Ris Street 72 Singapore 511718,Car,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; Per 30 mins $0.60
hdb-blk-718a-pasir-ris-street-72,HDB Blk 718A (Pasir Ris Street 72),718A Pasir Ris Street 72 Singapore 511718,Motorcycle,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; $0.65 per entry
hdb-blk-718a-pasir-ris-street-72,HDB Blk 718A (Pasir Ris Street 72),718A Pasir Ris Street 72 Singapore 511718,Commercial,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; Per 30 mins $1.20
action-theatre,ACTION Theatre,42 Waterloo Street Singapore 187951,Car,Mon - Sun & PH,12:00 AM,12:00 AM,No parking
abi-plaza,ABI Plaza,11 Keppel Road Singapore 089057,Car,Mon - Fri,08:00 AM,06:00 PM,First hour $4.28; Subsequent 30 mins $2.68
abi-plaza,ABI Plaza,11 Keppel Road Singapore 089057,Car,Mon - Fri,06:00 PM,08:00 AM,$4.28 per entry
abi-plaza,ABI Plaza,11 Keppel Road Singapore 089057,Car,Sat,08:00 AM,01:00 PM,First hour $4.28; Subsequent 30 mins $2.68
abi-plaza,ABI Plaza,11 Keppel Road Singapore 089057,Car,Sat,01:00 PM,08:00 AM,$4.28 per entry
abi-plaza,ABI Plaza,11 Keppel Road Singapore 089057,Car,Sun & PH,08:00 AM,08:00 AM,$4.28 per entry
heartland-mall,Heartland Mall,205 Hougang Street 21 Singapore 530205,Car,Mon - Sun & PH,07:00 AM,10:30 PM,$1.00 per hour
heartland-mall,Heartland Mall,205 Hougang Street 21 Singapore 530205,Car,Mon - Sun & PH,10:30 PM,07:00 AM,$2.00 per hour
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,Car,Mon - Fri,07:00 AM,12:00 PM,$0.02 per min
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,Car,Mon - Fri,12:00 PM,02:00 PM,Free parking
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,Car,Mon - Fri,02:00 PM,10:30 PM,$0.02 per min
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,Car,Mon - Fri,10:30 PM,07:00 AM,$0.02 per min; Capped at $5.00
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,Car,Sat - Sun & PH,07:00 AM,10:30 PM,$0.02 per min
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,Car,Sat - Sun & PH,10:30 PM,07:00 AM,$0.02 per min; Capped at $5.00
alliance-francaise-de-singapour,Alliance Francaise de Singapour,1 Sarkies Road Singapore 258130,Car,Mon - Sun & PH,08:00 AM,11:00 PM,First 2 hours $2.50; Subsequent 30 mins $1.25
alliance-francaise-de-singapour,Alliance Francaise de Singapour,1 Sarkies Road Singapore 258130,Car,Mon - Sun & PH,11:00 PM,08:00 AM,No parking
aia-tower,AIA Tower,"1 Robinson Road, S(048542)","Car, Commercial, Motorcycle",Mon - Sun & PH,12:00 AM,12:00 AM,No parking
hindoo-road-kampong-kapor-road,Hindoo Road / Kampong Kapor Road,Hindoo Road / Kampong Kapor Road,Car,Mon - Sun & PH,07:00 AM,10:30 PM,$0.02 per min
hindoo-road-kampong-kapor-road,Hindoo Road / Kampong Kapor Road,Hindoo Road / Kampong Kapor Road,Car,Mon - Sun & PH,10:30 PM,07:00 AM,$0.02 per min; Capped at $5.00
hexacube,HexaCube,160 Changi Road Singapore 419728,Car,Mon - Fri,07:00 AM,06:00 PM,No parking
hexacube,HexaCube,160 Changi Road Singapore 419728,Car,Mon - Fri,06:00 PM,07:00 AM,$3.00 per entry
hexacube,HexaCube,160 Changi Road Singapore 419728,Car,Sat,07:00 AM,01:00 PM,First 30 mins $1.20; Subsequent 15 mins $0.60
hexacube,HexaCube,160 Changi Road Singapore 419728,Car,Sat,01:00 PM,07:00 AM,$3.00 per entry; First 15 mins $0.60; Subsequent 15 mins $0.60
hexacube,HexaCube,160 Changi Road Singapore 419728,Car,Sun & PH,12:00 AM,12:00 AM,$3.00 per entry; First 15 mins $0.60; Subsequent 15 mins $0.60
armenian-church-of-saint-gregory,Armenian Church of Saint Gregory,60 Hill Street Singapore 179366,Car,Mon - Sun & PH,12:00 AM,12:00 AM,No parking
balestier-warehouse,Balestier Warehouse,"12A Jalan Ampas, S(329516)",Car,Mon - Sun & PH,08:00 AM,05:00 PM,First hour $1.50; Subsequent 30 mins $1.50
bangkok-bank-building,Bangkok Bank Building,180 Cecil Street Singapore 069546,Car,Mon - Fri,07:00 AM,07:00 PM,First 30 mins $2.30; Subsequent hour $4.00
bangkok-bank-building,Bangkok Bank Building,180 Cecil Street Singapore 069546,Car,Sat,07:00 AM,03:00 PM,First 30 mins $2.30; Subsequent hour $4.00
bangkok-bank-building,Bangkok Bank Building,180 Cecil Street Singapore 069546,Car,Sun & PH,12:00 AM,12:00 AM,No parking
serangoon-stadium,Serangoon Stadium,"35 Yio Chu Kang Road, Singapore 545552",Car,Mon - Sun & PH,12:00 AM,12:00 AM,$0.60 per 30 mins
singapore-godown,Singapore Godown,"25 Tagore Lane, Singapore 787602",Car,Mon - Sat,07:00 AM,11:00 PM,First hour $1.20; Subsequent 30 mins $0.60
singapore-godown,Singapore Godown,"25 Tagore Lane, Singapore 787602",Car,Mon - Sat,11:00 PM,07:00 AM,$2.40 per entry
singapore-godown,Singapore Godown,"25 Tagore Lane, Singapore 787602",Car,Sun & PH,07:00 AM,07:00 AM,$2.40 per entry
sin-ming-plaza,Sin Ming Plaza,"6 Sin Ming Road, Singapore 575585",Car,Mon - Sun & PH,08:00 AM,08:00 AM,10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75
sin-ming-autocity,Sin Ming AutoCity,"160 Sin Ming Drive, Singapore 575722",Car,Mon - Sat,07:00 AM,10:30 PM,$0.60 per 30 mins
sin-ming-autocity,Sin Ming AutoCity,"160 Sin Ming Drive, Singapore 575722",Car,Mon - Sat,10:30 PM,07:00 AM,$0.60 per 30 mins; Capped at $5.00
sin-ming-autocity,Sin Ming AutoCity,"160 Sin Ming Drive, Singapore 575722",Car,Sun & PH,07:00 AM,10:30 PM,Free parking
sin-ming-autocity,Sin Ming AutoCity,"160 Sin Ming Drive, Singapore 575722",Car,Sun & PH,10:30 PM,07:00 AM,$0.60 per 30 mins; Capped at $5.00
sun-plaza,Sun Plaza,"30 Sembawang Drive, Singapore 757713",Car,Mon - Sun & PH,05:00 PM,11:00 PM,$2.68 per entry
sun-plaza,Sun Plaza,"30 Sembawang Drive, Singapore 757713",Car,Mon - Sun & PH,11:00 PM,07:00 AM,$3.96 per entry
singapore-turf-club-stc,Singapore Turf Club (STC),"1 Turf Club Avenue Singapore Racecourse, Singapore 738078",Car,Mon - Thu,09:00 AM,05:00 PM,$3.00 per entry
singapore-turf-club-stc,Singapore Turf Club (STC),"1 Turf Club Avenue Singapore Racecourse, Singapore 738078",Car,Mon - Thu,05:00 PM,08:00 AM,$5.00 per entry
singapore-turf-club-stc,Singapore Turf Club (STC),"1 Turf Club Avenue Singapore Racecourse, Singapore 738078",Car,Fri - Sun & PH,09:00 AM,08:00 PM,$6.00 per entry
tagore-23-warehouse,Tagore 23 Warehouse,"23 Tagore Lane, Singapore 787601",Car,Mon - Sat,07:00 AM,06:00 PM,10 mins grace period; First hour $1.33; Subsequent 30 mins $0.74
tagore-23-warehouse,Tagore 23 Warehouse,"23 Tagore Lane, Singapore 787601",Car,Mon - Sat,06:00 PM,07:00 AM,10 mins grace period; $2.62 per entry
singapore-zoo-singapore-night-safari,Singapore Zoo / Singapore Night Safari,"80 Mandai Lake Road, Singapore 729826",Car,Mon - Sun & PH,06:00 AM,01:00 AM,10 mins grace period; First hour $3.00; Subsequent hour $2.00; Capped at $10.00
techpoint,Techpoint,"10 Ang Mo Kio Street 65, Singapore 569059",Car,Mon - Sun & PH,08:00 AM,08:00 AM,15 mins grace period; First hour $2.14; Subsequent 30 mins $1.60; Capped at $12.00
tagore-industrial-building,Tagore Industrial Building,"6 Tagore Drive, Singapore 787623",Car,Mon - Sun & PH,08:00 AM,05:00 PM,$0.60 per 30 mins
tagore-industrial-building,Tagore Industrial Building,"6 Tagore Drive, Singapore 787623",Car,Mon - Sun & PH,05:00 PM,08:00 AM,$2.40 per entry
techplace-1,Techplace 1,"4008 Ang Mo Kio Avenue 10, Singapore 569625",Car,Mon - Sat,08:00 AM,05:00 PM,10 mins grace period; First hour $0.92; Subsequent hour $1.12
techplace-1,Techplace 1,"4008 Ang Mo Kio Avenue 10, Singapore 569625",Car,Mon - Sat,05:00 PM,08:00 AM,10 mins grace period; $1.74 per entry
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,06:00 AM,10:00 AM,First hour $0.48; Subsequent 15 mins $0.12
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,10:00 AM,12:00 PM,First hour $0.96; Subsequent 15 mins $0.24
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,12:00 PM,02:00 PM,Free parking
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,02:00 PM,06:00 PM,First hour $0.96; Subsequent 15 mins $0.24
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,06:00 PM,10:00 PM,First hour $1.00; Subsequent 15 mins $0.25
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,10:00 PM,06:00 AM,First hour $0.32; Subsequent 15 mins $0.08
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,06:00 AM,10:00 AM,First hour $0.54; Subsequent 15 mins $0.16; Subsequent 15 mins $0.65
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,10:00 AM,12:00 PM,First hour $1.28; Subsequent 15 mins $0.65
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,12:00 PM,02:00 PM,Free parking
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,02:00 PM,09:00 PM,First hour $1.28; Subsequent 15 mins $0.65
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,09:00 PM,06:00 AM,First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,& PH,06:00 AM,10:00 AM,First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,& PH,10:00 AM,09:00 PM,First hour $1.28; Subsequent 15 mins $0.65; Subsequent 15 mins $0.65
holiday-inn-express-singapore-katong,Holiday Inn Express Singapore Katong,86 East Coast Road Singapore 428788,Car,& PH,09:00 PM,06:00 AM,First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16
home-united-youth-football-academy-hyfa,Home United Youth Football Academy (HYFA),8 Mattar Road Singapore 387727,Car,Mon - Sun & PH,08:00 AM,06:00 PM,First hour $1.28; Subsequent 30 mins $0.64
home-united-youth-football-academy-hyfa,Home United Youth Football Academy (HYFA),8 Mattar Road Singapore 387727,Car,Mon - Sun & PH,06:00 PM,08:00 AM,$2.68 per entry
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,06:00 AM,10:00 AM,First hour $0.48; Subsequent 15 mins $0.12; Subsequent 15 mins $0.65
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,10:00 AM,12:00 PM,First hour $0.96; Subsequent 15 mins $0.24
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,12:00 PM,02:00 PM,Free parking
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,02:00 PM,06:00 PM,First hour $0.96; Subsequent 15 mins $0.24
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,06:00 PM,10:00 PM,First hour $1.00; Subsequent 15 mins $0.25
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Mon - Fri,10:00 PM,06:00 AM,First hour $0.32; Subsequent 15 mins $0.08
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,06:00 AM,10:00 AM,First hour $0.54; Subsequent 15 mins $0.16
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,10:00 AM,12:00 PM,First hour $1.28; Subsequent 15 mins $0.65
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,12:00 PM,02:00 PM,Free parking
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,02:00 PM,09:00 PM,First hour $1.28; Subsequent 15 mins $0.65
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,Sat - Sun,09:00 PM,06:00 AM,First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,& PH,06:00 AM,10:00 AM,First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,& PH,10:00 AM,09:00 PM,First hour $1.28; Subsequent 15 mins $0.65; Subsequent 15 mins $0.65
hotel-indigo-singapore-katong,Hotel Indigo Singapore Katong,86 East Coast Road Singapore 428788,Car,& PH,09:00 PM,06:00 AM,First hour $0.54; Subsequent 15 mins $0.65; Subsequent 15 mins $0.16
hotel-windsor,Hotel Windsor,401 Macpherson Road Singapore 368125,Car,Mon - Sun & PH,12:00 AM,12:00 AM,No parking
hor-kew-business-centre,Hor Kew Business Centre,66 Kallang Pudding Road Singapore 349324,Car,Mon - Sun & PH,07:00 AM,10:00 PM,10 mins grace period; First 30 mins $0.80; Subsequent 10 mins free; Subsequent 30 mins $0.80
hor-kew-business-centre,Hor Kew Business Centre,66 Kallang Pudding Road Singapore 349324,Car,Mon - Sun & PH,10:00 PM,07:00 AM,No parking
hor-kew-business-centre,Hor Kew Business Centre,66 Kallang Pudding Road Singapore 349324,Car,Sun & PH,09:00 AM,06:00 PM,
hougang-stadium-sports-hall-clubfitt-gym,Hougang Stadium / Sports Hall / ClubFITT Gym,100 Hougang Avenue 2 Singapore 538856,Car,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; Per 30 mins $0.60
hougang-stadium-sports-hall-clubfitt-gym,Hougang Stadium / Sports Hall / ClubFITT Gym,100 Hougang Avenue 2 Singapore 538856,Motorcycle,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; $0.65 per entry
hougang-stadium-sports-hall-clubfitt-gym,Hougang Stadium / Sports Hall / ClubFITT Gym,100 Hougang Avenue 2 Singapore 538856,Commercial,Mon - Sun & PH,12:00 AM,12:00 AM,15 mins grace period; Per 30 mins $1.20
hougang-green-shopping-mall,Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719,Car,Mon - Sat,07:00 AM,05:00 PM,First hour $1.30; Subsequent 30 mins $0.70
hougang-green-shopping-mall,Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719,Car,Mon - Sat,05:00 PM,12:00 AM,$3.00 per entry
hougang-green-shopping-mall,Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719,Car,Mon - Sat,12:00 AM,07:00 AM,$5.00 per entry; Per 30 mins $0.70
hougang-green-shopping-mall,Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719,Car,Sun & PH,07:00 AM,12:00 AM,$3.00 per entry; Per 30 mins $0.70
hougang-green-shopping-mall,Hougang Green Shopping Mall,21 Hougang Street 51 Singapore 538719,Car,Sun & PH,12:00 AM,07:00 AM,$5.00 per entry; Per 30 mins $0.70
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766,Car,Mon - Fri,07:00 AM,06:00 PM,10 mins grace period; First hour $1.28; Subsequent 30 mins $0.85; Subsequent 10 mins free; Subsequent hour $1.39; Subsequent 30 mins $1.07
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766,Car,Mon - Fri,06:00 PM,12:00 AM,10 mins grace period; $2.14 per entry
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766,Car,Mon - Fri,12:00 AM,07:00 AM,No parking
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766,Car,Sat - Sun & PH,07:00 AM,06:00 PM,10 mins grace period; First hour $1.28; $2.14 per entry
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766,Car,Sat - Sun & PH,06:00 PM,12:00 AM,10 mins grace period; First hour $1.28; $2.14 per entry; Subsequent 10 mins free; $2.14 per entry
hougang-mall,Hougang Mall,90 Hougang Avenue 10 Singapore 538766,Car,Sat - Sun & PH,12:00 AM,07:00 AM,No parking
hougang-1,Hougang 1,1 Hougang Street 91 Singapore 538692,Car,Mon - Fri,12:00 AM,06:00 PM,10 mins grace period; First hour $1.64; Subsequent 15 mins $0.41; $2.45 per entry; Subsequent hour $1.74; Subsequent 15 mins $0.44
hougang-1,Hougang 1,1 Hougang Street 91 Singapore 538692,Car,Mon - Fri,06:00 PM,12:00 AM,Free parking
hougang-1,Hougang 1,1 Hougang Street 91 Singapore 538692,Car,Sat - Sun & PH,12:00 AM,06:00 PM,10 mins grace period; Per 10 mins free
hougang-1,Hougang 1,1 Hougang Street 91 Singapore 538692,Car,Sat - Sun & PH,06:00 PM,12:00 AM,10 mins grace period; First 10 mins free; $2.62 per entry
hougang-1,Hougang 1,1 Hougang Street 91 Singapore 538692,Motorcycle,Mon - Sun & PH,12:00 AM,12:00 AM,$1.42 per entry
ibm-place-1,IBM Place 1,9 Changi Business Park Central 1 Singapore 486048,"Car, Commercial, Motorcycle",Mon - Sun & PH,12:00 AM,12:00 AM,No parking
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Mon - Fri,06:00 AM,10:00 AM,First hour $0.60; Subsequent 15 mins $0.25; Subsequent 15 mins $0.45
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Mon - Fri,10:00 AM,06:00 PM,First hour $1.08; Subsequent 15 mins $0.32
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Mon - Fri,06:00 PM,06:00 AM,$3.05 per entry
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Mon - Fri,06:00 PM,06:00 AM,First hour $1.08; $3.05 per entry
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Sat - Sun & PH,06:00 AM,10:00 AM,First hour $1.08; Subsequent hour $0.70
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Sat - Sun & PH,10:00 AM,06:00 PM,First hour $1.08; Subsequent hour $1.30; Subsequent 15 mins $0.66
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Sat - Sun & PH,10:00 AM,06:00 PM,First hour $1.08; Subsequent hour $1.30; Subsequent 15 mins $0.66
i12-katong-previously-112-katong,I12 Katong (previously 112 Katong),112 East Coast Road Singapore 428802,Car,Sat - Sun & PH,06:00 PM,06:00 AM,First hour $1.08; $3.05 per entry
ibm-place-2,IBM Place 2,9 Changi Business Park Central 1 Singapore 486048,"Car, Commercial",Mon - Sat,07:00 AM,10:00 PM,10 mins grace period; First hour $2.20; Subsequent 30 mins $2.70
ibm-place-2,IBM Place 2,9 Changi Business Park Central 1 Singapore 486048,"Car, Commercial",Sun & PH,10:01 PM,06:59 AM,No parking
ibm-place-2,IBM Place 2,9 Changi Business Park Central 1 Singapore 486048,Motorcycle,Mon - Sat,07:00 AM,10:00 PM,10 mins grace period; $1.10 per entry
ibm-place-2,IBM Place 2,9 Changi Business Park Central 1 Singapore 486048,Motorcycle,Sun & PH,12:00 AM,12:00 AM,10 mins grace period; $1.10 per entry
ibm-singapore-technology-park,IBM Singapore Technology Park,6 Tampines Industrial Avenue 5 Singapore (528760,Car,Mon - Sat,07:00 AM,07:00 PM,$0.03 per min
ibm-singapore-technology-park,IBM Singapore Technology Park,6 Tampines Industrial Avenue 5 Singapore (528760,Car,Mon - Sat,07:00 PM,07:00 AM,$2.50 per entry
ibm-singapore-technology-park,IBM Singapore Technology Park,6 Tampines Industrial Avenue 5 Singapore (528760,Car,Sun & PH,12:00 AM,12:00 AM,Free parking
ikea-tampines,IKEA Tampines,60 Tampines North Drive 2 Singapore 528764,Car,Mon - Sun & PH,07:00 AM,11:00 PM,Free parking
ikea-tampines,IKEA Tampines,60 Tampines North Drive 2 Singapore 528764,Car,Mon - Sun & PH,11:00 PM,07:00 AM,No parking
joo-seng-warehouse,Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901,Car,Mon - Fri,08:00 AM,06:00 PM,No parking
joo-seng-warehouse,Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901,Car,Mon - Fri,06:00 PM,06:00 AM,No parking
joo-seng-warehouse,Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901,Car,Thu - Sat,08:00 AM,04:00 PM,$1.02 per hour
joo-seng-warehouse,Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901,Car,Thu - Sat,04:00 PM,08:00 AM,No parking
joo-seng-warehouse,Joo Seng Warehouse,1 Upper Aljunied Link Singapore 367901,Car,Sun & PH,12:00 AM,12:00 AM,No parking
joo-chiat-complex,Joo Chiat Complex,1 Joo Chiat Road Singapore 420001,Car,Mon - Sun & PH,07:00 AM,07:00 PM,$0.50 per 30 mins
joo-chiat-complex,Joo Chiat Complex,1 Joo Chiat Road Singapore 420001,Car,Mon - Sun & PH,07:00 PM,07:00 AM,$0.80 per 30 mins
institute-of-mental-health-imh,Institute Of Mental Health (IMH),10 Buangkok View Singapore 539747,Car,Mon - Sun & PH,12:00 AM,12:00 AM,Free parking
jtc-blk-3014a-3015a-ubi-road-1,JTC Blk 3014A / 3015A Ubi Road 1,3014A Ubi Road 1 Singapore 408703,Car,Mon - Sat,07:00 AM,10:00 PM,No parking
jtc-blk-3014a-3015a-ubi-road-1,JTC Blk 3014A / 3015A Ubi Road 1,3014A Ubi Road 1 Singapore 408703,Car,Mon - Sat,10:00 PM,07:00 AM,$2.00 per entry
jtc-blk-3014a-3015a-ubi-road-1,JTC Blk 3014A / 3015A Ubi Road 1,3014A Ubi Road 1 Singapore 408703,Car,Sun & PH,12:00 AM,12:00 AM,$2.00 per entry
jtc-blk-8-12-lorong-bakar-batu,JTC Blk 8 / 12 Lorong Bakar Batu,8 Lorong Bakar Batu Singapore 348743,Car,Mon - Sat,07:00 AM,11:00 PM,$0.50 per 30 mins
jtc-blk-8-12-lorong-bakar-batu,JTC Blk 8 / 12 Lorong Bakar Batu,8 Lorong Bakar Batu Singapore 348743,Car,Mon - Sat,11:00 PM,07:00 AM,No parking
jtc-blk-8-12-lorong-bakar-batu,JTC Blk 8 / 12 Lorong Bakar Batu,8 Lorong Bakar Batu Singapore 348743,Car,Sun & PH,12:00 AM,12:00 AM,No parking
kallang-leisure-park,Kallang Leisure Park,5 Stadium Walk Singapore 397693,Car,Mon - Fri,08:15 AM,06:00 PM,hour grace period; First 30 mins $0.70; Subsequent hour $0.70; Subsequent 15 mins $0.40
